symbol,company_name,avg_turnover_cr,sector
LIKHITHA,Likhitha Infrastructure Limited,1.02,
REPRO,Repro India Limited,1.02,
TARACHAND,Tara Chand InfraLogistic Solutions Limited,0.98,
NILASPACES,Nila Spaces Limited,0.96,
MANAKSTEEL,Manaksia Steels Limited,0.95,
REMSONSIND,Remsons Industries Limited,0.93,
KSOLVES,Ksolves India Limited,0.92,
MAANALU,Maan Aluminium Limited,0.92,
ORIENTBELL,Orient Bell Limited,0.9,
PASHUPATI,Pashupati Cotspin Limited,0.89,
SANDESH,The Sandesh Limited,0.89,
URJA,Urja Global Limited,0.89,
SCILAL,Shipping Corporation of India Land and Assets Limited,0.88,
TIGERLOGS,Tiger Logistics (India) Limited,0.88,
RANASUG,Rana Sugars Limited,0.87,
SUDARCOLOR,Sudarshan Colorants India Limited,0.87,
UEL,Ujaas Energy Limited,0.87,
FELIX-SM,,0.87,
PIGL,Power & Instrumentation (Gujarat) Limited,0.86,
PRECOT,Precot Limited,0.85,
ROHLTD,Royal Orchid Hotels Limited,0.84,
VALIANTLAB,Valiant Laboratories Limited,0.83,
SAGCEM,Sagar Cements Limited,0.82,
MANAKALUCO,Manaksia Aluminium Company Limited,0.81,
SGBSEP28VI-GB,,0.81,
MINDTECK,Mindteck (India) Limited,0.8,
RELIABLE,Reliable Data Services Limited,0.8,
XCHANGING,Xchanging Solutions Limited,0.8,
KICL,Kalyani Investment Company Limited,0.79,
NATIONSTD,National Standard (India) Limited,0.79,
NCLIND,NCL Industries Limited,0.79,
TREJHARA,TREJHARA SOLUTIONS LIMITED,0.78,
SGIL,Synergy Green Industries Limited,0.77,
PVSL,Popular Vehicles and Services Limited,0.76,
SONAMLTD,SONAM LIMITED,0.76,
DISAQ,Disa India Limited,0.71,
RUDRA,Rudra Global Infra Products Limited,0.7,
PRIMO,Primo Chemicals Limited,0.69,
SUMMITSEC,Summit Securities Limited,0.67,
SBIETFPB,,0.66,
SEJALLTD,Sejal Glass Limited,0.65,
NDTV,New Delhi Television Limited,0.63,
MANORG,Mangalam Organics Limited,0.62,
LANCORHOL,Lancor Holdings Limited,0.61,
MAFATIND,Mafatlal Industries Limited,0.61,
OSWALGREEN,Oswal Greentech Limited,0.61,
RKSWAMY,R K Swamy Limited,0.61,
ZIMLAB,Zim Laboratories Limited,0.61,
KOTARISUG,Kothari Sugars And Chemicals Limited,0.6,
SARLAPOLY,Sarla Performance Fibers Limited,0.6,
MIRZAINT,Mirza International Limited,0.59,
ORICONENT,Oricon Enterprises Limited,0.59,
TECHNVISN,TechNVision Ventures Limited,0.59,
SBIETFIT,,0.59,
MUTHOOTCAP,Muthoot Capital Services Limited,0.57,
ZODIAC,Zodiac Energy Limited,0.57,
SSDL,Saraswati Saree Depot Limited,0.56,
SOMICONVEY,Somi Conveyor Beltings Limited,0.55,
STCINDIA,The State Trading Corporation of India Limited,0.55,
VAKRANGEE,Vakrangee Limited,0.55,
MOGSEC,,0.55,
ESSENTIA,Integra Essentia Limited,0.54,
ORIENTPPR,Orient Paper & Industries Limited,0.54,
NIRLON,Nirlon Limited,0.53,
SCHAND,S Chand And Company Limited,0.52,
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,0.52,
RADIANTCMS,Radiant Cash Management Services Limited,0.48,
WORTHPERI,Worth Peripherals Limited,0.48,
WSI,W S Industries (I) Limited,0.48,
KOKUYOCMLN,Kokuyo Camlin Limited,0.47,
RAMAPHO,Rama Phosphates Limited,0.46,
SREEL,Sreeleathers Limited,0.46,
KALYANIFRG,Kalyani Forge Limited,0.44,
FILATFASH,Filatex Fashions Limited,0.43,
KNAGRI,KN Agri Resources Limited,0.43,
MEDICAMEQ,Medicamen Biotech Limited,0.43,
RUCHIRA,Ruchira Papers Limited,0.43,
TARMAT,Tarmat Limited,0.43,
VMSTMT,VMS TMT Limited,0.43,
KSHITIJPOL,Kshitij Polyline Limited,0.42,
LGHL,Laxmi Goldorna House Limited,0.41,
LORDSCHLO,Lords Chloro Alkali Limited,0.41,
