symbol,company_name,sector,source,note
GLOBECIVIL,Globe Civil Projects Limited,Capital Goods,provider,Industrials
GLOTTIS,Glottis Limited,Capital Goods,provider,Industrials
GMMPFAUDLR,GMM Pfaudler Limited,Capital Goods,nse_official,Capital Goods
GPIL,Godawari Power And Ispat limited,Capital Goods,nse_official,Capital Goods
GPTINFRA,GPT Infraprojects Limited,Capital Goods,provider,Industrials
GRAPHITE,Graphite India Limited,Capital Goods,nse_official,Capital Goods
GREAVESCOT,Greaves Cotton Limited,Capital Goods,nse_official,Capital Goods
GRINDWELL,Grindwell Norton Limited,Capital Goods,nse_official,Capital Goods
GRINFRA,G R Infraprojects Limited,Capital Goods,provider,Industrials
GRSE,Garden Reach Shipbuilders & Engineers Limited,Capital Goods,nse_official,Capital Goods
GRWRHITECH,Garware Hi-Tech Films Limited,Capital Goods,nse_official,Capital Goods
GUJAPOLLO,Gujarat Apollo Industries Limited,Capital Goods,provider,Industrials
GUJRAFFIA,Gujarat Raffia Industries Limited,Capital Goods,manual,
GVPIL,GE Power India Limited,Capital Goods,provider,Industrials
GVT&D,GE Vernova T&D India Limited,Capital Goods,nse_official,Capital Goods
HAL,Hindustan Aeronautics Limited,Capital Goods,nse_official,Capital Goods
HAPPYFORGE,Happy Forgings Limited,Capital Goods,provider,Industrials
HARDWYN,Hardwyn India Limited,Capital Goods,provider,Industrials
HARSHA,Harsha Engineers International Limited,Capital Goods,provider,Industrials
HBLENGINE,HBL Engineering Limited,Capital Goods,nse_official,Capital Goods
HECPROJECT,HEC Infra Projects Limited,Capital Goods,provider,Industrials
HEG,HEG Limited,Capital Goods,nse_official,Capital Goods
HGS,Hinduja Global Solutions Limited,Capital Goods,provider,Industrials
HILINFRA,Highway Infrastructure Limited,Capital Goods,provider,Industrials
HILTON,Hilton Metal Forging Limited,Capital Goods,provider,Industrials
HIRECT,Hirect Limited,Capital Goods,provider,Industrials
HLEGLAS,HLE Glascoat Limited,Capital Goods,provider,Industrials
HMT,HMT Limited,Capital Goods,provider,Farm & Heavy Construction Machinery
HNDFDS,Hindustan Foods Limited,Capital Goods,provider,Industrials
HONAUT,Honeywell Automation India Limited,Capital Goods,nse_official,Capital Goods
HONDAPOWER,Honda India Power Products Limited,Capital Goods,provider,Industrials
HPL,HPL Electric & Power Limited,Capital Goods,provider,Industrials
ICEMAKE,Ice Make Refrigeration Limited,Capital Goods,provider,Industrials
INDIANHUME,Indian Hume Pipe Company Limited,Capital Goods,provider,Industrials
INDOFARM,Indo Farm Equipment Limited,Capital Goods,provider,Industrials
INDOTECH,Indo Tech Transformers Limited,Capital Goods,provider,Industrials
INGERRAND,Ingersoll Rand (India) Limited,Capital Goods,provider,Industrials
INNOVISION,Innovision Limited,Capital Goods,provider,Industrials
INOXINDIA,INOX India Limited,Capital Goods,nse_official,Capital Goods
INOXWIND,Inox Wind Limited,Capital Goods,nse_official,Capital Goods
INTERARCH,Interarch Building Solutions Limited,Capital Goods,provider,Industrials
INTLCONV,International Conveyors Limited,Capital Goods,provider,Industrials
ISGEC,Isgec Heavy Engineering Limited,Capital Goods,provider,Industrials
JASH,Jash Engineering Limited,Capital Goods,provider,Industrials
JAYKAY,Jaykay Enterprises Limited,Capital Goods,provider,Industrials
JAYNECOIND,Jayaswal Neco Industries Limited,Capital Goods,nse_official,Capital Goods
JETFREIGHT,Jet Freight Logistics Limited,Capital Goods,provider,Industrials
JINDALSAW,Jindal Saw Limited,Capital Goods,nse_official,Capital Goods
JISLDVREQS,Jain Irrigation Systems Limited,Capital Goods,provider,Industrials
JISLJALEQS,Jain Irrigation Systems Limited,Capital Goods,provider,Industrials
JITFINFRA,JITF Infralogistics Limited,Capital Goods,provider,Industrials
JKIL,J.Kumar Infraprojects Limited,Capital Goods,provider,Industrials
JKIPL,Jinkushal Industries Limited,Capital Goods,provider,Industrials
JNKINDIA,JNK India Limited,Capital Goods,provider,Industrials
JWL,Jupiter Wagons Limited,Capital Goods,nse_official,Capital Goods
JYOTICNC,Jyoti CNC Automation Limited,Capital Goods,nse_official,Capital Goods
JYOTISTRUC,Jyoti Structures Limited,Capital Goods,provider,Industrials
KABRAEXTRU,Kabra Extrusion Technik Limited,Capital Goods,manual,
KANANIIND,Kanani Industries Limited,Capital Goods,manual,
KAYNES,Kaynes Technology India Limited,Capital Goods,nse_official,Capital Goods
KCP,KCP Limited,Capital Goods,manual,
KEI,KEI Industries Limited,Capital Goods,nse_official,Capital Goods
KENNAMET,Kennametal India Limited,Capital Goods,provider,Industrials
KHAITANLTD,Khaitan (India) Limited,Capital Goods,provider,Industrials
KIRIINDUS,Kiri Industries Limited,Capital Goods,manual,
KIRLFER,Kirloskar Ferrous Industries Limited,Capital Goods,manual,
KIRLOSBROS,Kirloskar Brothers Limited,Capital Goods,nse_official,Capital Goods
KIRLOSENG,Kirloskar Oil Engines Limited,Capital Goods,nse_official,Capital Goods
KIRLOSIND,Kirloskar Industries Limited,Capital Goods,manual,
KIRLPNU,Kirloskar Pneumatic Company Limited,Capital Goods,nse_official,Capital Goods
KLBRENG-B,Kilburn Engineering Limited,Capital Goods,provider,Industrials
KOKUYOCMLN,Kokuyo Camlin Limited,Capital Goods,manual,
KOTIC,Kothari Industrial Corporation Limited,Capital Goods,manual,
KRISHNADEF,Krishna Defence And Allied Industries Limited,Capital Goods,manual,
KRITI,Kriti Industries (India) Limited,Capital Goods,manual,
KRN,KRN Heat Exchanger and Refrigeration Limited,Capital Goods,nse_official,Capital Goods
KRYSTAL,Krystal Integrated Services Limited,Capital Goods,provider,Industrials
KSB,Ksb Limited,Capital Goods,nse_official,Capital Goods
KSHINTL,KSH International Limited,Capital Goods,manual,
LAKPRE,Lakshmi Precision Screws Limited,Capital Goods,provider,Tools & Accessories
LATTEYS,Latteys Industries Limited,Capital Goods,manual,
LEXUS,Lexus Granito (India) Limited,Capital Goods,manual,
LINC,Linc Limited,Capital Goods,manual,
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Capital Goods,nse_official,Capital Goods
LMW,LMW Limited,Capital Goods,manual,
LOKESHMACH,Lokesh Machines Limited,Capital Goods,provider,Specialty Industrial Machinery
MAFATIND,Mafatlal Industries Limited,Capital Goods,manual,
MAHSEAMLES,Maharashtra Seamless Limited,Capital Goods,nse_official,Capital Goods
MALLCOM,Mallcom (India) Limited,Capital Goods,provider,Industrials
MAMATA,Mamata Machinery Limited,Capital Goods,manual,
MANINDS,Man Industries (India) Limited,Capital Goods,manual,
MANINFRA,Man Infraconstruction Limited,Capital Goods,provider,Industrials
MANUGRAPH,Manugraph India Limited,Capital Goods,provider,Specialty Industrial Machinery
MARSONS,Marsons Limited,Capital Goods,manual,
MAZDA,Mazda Limited,Capital Goods,provider,Specialty Industrial Machinery
MAZDOCK,Mazagon Dock Shipbuilders Limited,Capital Goods,nse_official,Capital Goods
MBEL,M & B Engineering Limited,Capital Goods,provider,Industrials
MICEL,MIC Electronics Limited,Capital Goods,provider,Electronic Components
MIDHANI,Mishra Dhatu Nigam Limited,Capital Goods,nse_official,Capital Goods
MMP,MMP Industries Limited,Capital Goods,manual,
MODISONLTD,MODISON LIMITED,Capital Goods,provider,Electrical Equipment & Parts
MOHITIND,Mohit Industries Limited,Capital Goods,manual,
MTARTECH,Mtar Technologies Limited,Capital Goods,nse_official,Capital Goods
NACLIND,NACL Industries Limited,Capital Goods,manual,
NEAGI,Neelamalai Agro Industries Limited,Capital Goods,manual,
