symbol,sector,company_name,owner_label,turnover_cr
SIKA,IT,Sika Interplant Systems Limited,Information Technology,2.93
NAVKARCORP,Services,Navkar Corporation Limited,Business Services,2.86
SIGNPOST,Media,Signpost India Limited,Media & Entertainment,2.86
THEJO,Auto,Thejo Engineering Limited,Automobile & Auto Components,2.86
NOVARTIND,Pharma,Novartis India Limited,Pharmaceuticals & Healthcare,2.84
TVSELECT,IT,TVS Electronics Limited,Information Technology,2.82
VEEDOL,Chemicals,Veedol Corporation Limited,Chemicals,2.81
VESUVIUS,Capital Goods,Vesuvius India Limited,Capital Goods & Industrial Manufacturing,2.79
MARKOLINES,IT,Markolines Pavement Technologies Limited,Information Technology,2.67
PRAVEG,Consumer Services,Praveg Limited,"Hotels, Travel & Leisure",2.64
STUDDS,Auto,Studds Accessories Limited,Automobile & Auto Components,2.64
PAKKA,Forest Materials,PAKKA LIMITED,Packaging & Paper,2.61
SHAH,Metal,Shah Metacorp Limited,Metals & Mining,2.6
MANOMAY,Textiles,Manomay Tex India Limited,Textiles,2.55
MEDICO,Pharma,Medico Remedies Limited,Pharmaceuticals & Healthcare,2.54
SINGERIND,Consumer Durables,Singer India Limited,Consumer Durables & Appliances,2.52
PUNJABCHEM,Chemicals,Punjab Chemicals & Crop Protection Limited,Chemicals,2.48
TAKE,IT,TAKE Limited,Information Technology,2.47
VIDHIING,FMCG,Vidhi Specialty Food Ingredients Limited,FMCG & Food,2.46
KANPRPLA,Forest Materials,Kanpur Plastipack Limited,Packaging & Paper,2.44
WPIL,Capital Goods,WPIL Limited,Capital Goods & Industrial Manufacturing,2.44
STLNETWORK,Telecom,STL Networks Limited,Telecom & Communication,2.43
SIMPLEXINF,Infra,Simplex Infrastructures Limited,Construction & Infrastructure,2.36
SWARAJENG,Auto,Swaraj Engines Limited,Automobile & Auto Components,2.33
LAXMIINDIA,Finance,Laxmi India Finance Limited,Banking & Financial Services,2.32
SURAJEST,Realty,Suraj Estate Developers Limited,Real Estate,2.26
MIDWESTLTD,Metal,Midwest Limited,Metals & Mining,2.25
MAXIND,Finance,Max India Limited,Banking & Financial Services,2.24
GANGAFORGE,Auto,Ganga Forging Limited,Automobile & Auto Components,2.16
SHOPERSTOP,Consumer Services,Shoppers Stop Limited,Retail & Consumer,2.06
OMAXAUTO,Auto,Omax Autos Limited,Automobile & Auto Components,2.02
PNBGILTS,Finance,PNB Gilts Limited,Banking & Financial Services,2.02
RPPINFRA,Infra,R.P.P. Infra Projects Limited,Construction & Infrastructure,2.02
NAHARSPING,Textiles,Nahar Spinning Mills Limited,Textiles,1.98
ONWARDTEC,IT,Onward Technologies Limited,Information Technology,1.98
KAYA,Pharma,Kaya Limited,Pharmaceuticals & Healthcare,1.97
KELLTONTEC,IT,Kellton Tech Solutions Limited,Information Technology,1.96
SHINDL,Capital Goods,Sharat Industries Limited,Capital Goods & Industrial Manufacturing,1.96
SUNDROP,Consumer Services,Sundrop Brands Limited,Retail & Consumer,1.95
PDMJEPAPER,Forest Materials,Pudumjee Paper Products Limited,Packaging & Paper,1.94
KOTHARIPET,Energy,Kothari Petrochemicals Limited,"Oil, Gas & Energy",1.92
