trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
81,NSE:NIFTY BANK,SETUP-A,LONG,56554.55,56450.15,56867.75,3.0,5,2025-10-15T09:40:00+05:30,56867.75,2025-10-15T13:00:00+05:30,TP,313.2,154.76,3.0,158.44
82,NSE:NIFTY BANK,SETUP-A,LONG,57217.05,57084.57,57614.5,3.0,7,2025-10-16T12:20:00+05:30,57373.25,2025-10-16T15:25:00+05:30,EOD,156.2,-3.72,1.179,159.92
83,NSE:NIFTY BANK,SETUP-A,LONG,57809.35,57578.26,58502.63,3.0,6,2025-10-17T11:10:00+05:30,57578.26,2025-10-17T12:50:00+05:30,SL,-231.09,-391.94,-1.0,160.85
84,NSE:NIFTY BANK,SETUP-A,LONG,58207.05,58055.28,58662.36,3.0,6,2025-10-20T11:00:00+05:30,58055.28,2025-10-20T14:25:00+05:30,SL,-151.77,-313.78,-1.0,162.01
85,NSE:NIFTY BANK,SETUP-A,LONG,58062.4,57925.47,58473.2,3.0,7,2025-10-27T11:45:00+05:30,58198.6,2025-10-27T15:25:00+05:30,EOD,136.2,-25.9,0.9947,162.1
86,NSE:NIFTY BANK,SETUP-A,LONG,57972.95,57826.04,58413.69,3.0,6,2025-10-28T12:25:00+05:30,58271.55,2025-10-28T15:25:00+05:30,EOD,298.6,136.47,2.0325,162.13
87,NSE:NIFTY BANK,SETUP-C,LONG,58122.75,57792.75,58947.75,2.5,6,2025-10-29T09:40:00+05:30,58399.05,2025-10-29T15:25:00+05:30,EOD,276.3,113.82,0.8373,162.48
88,NSE:NIFTY BANK,SETUP-C,LONG,58195.75,58058.22,58539.59,2.5,5,2025-10-30T11:00:00+05:30,58058.22,2025-10-30T14:45:00+05:30,SL,-137.53,-299.54,-1.0,162.01
89,NSE:NIFTY BANK,SETUP-C,LONG,58172.1,57798.88,59105.15,2.5,8,2025-10-31T09:25:00+05:30,57798.88,2025-10-31T10:35:00+05:30,SL,-373.22,-534.79,-1.0,161.57
90,NSE:NIFTY BANK,SETUP-A,SHORT,57295.4,57663.55,56190.94,3.0,8,2025-11-07T09:50:00+05:30,57663.55,2025-11-07T11:25:00+05:30,SL,-368.15,-528.61,-1.0,160.46
91,NSE:NIFTY BANK,SETUP-A,LONG,58344.2,58268.67,58570.78,3.0,7,2025-11-12T12:15:00+05:30,58268.67,2025-11-12T15:15:00+05:30,SL,-75.53,-238.03,-1.0,162.5
92,NSE:NIFTY BANK,SETUP-A,LONG,58365.65,58226.6,58782.79,3.0,6,2025-11-13T09:45:00+05:30,58387.5,2025-11-13T15:25:00+05:30,EOD,21.85,-140.86,0.1571,162.71
93,NSE:NIFTY BANK,SETUP-A,LONG,58879.75,58506.79,59998.63,3.0,6,2025-11-17T09:35:00+05:30,58969.2,2025-11-17T15:25:00+05:30,EOD,89.45,-74.71,0.2398,164.16
94,NSE:NIFTY BANK,SETUP-B,SHORT,58965.5,59007.27,58881.95,2.0,5,2025-11-18T09:35:00+05:30,59007.27,2025-11-18T09:45:00+05:30,SL,-41.77,-206.08,-1.0,164.31
95,NSE:NIFTY BANK,SETUP-A,LONG,58886.85,58841.56,59022.72,3.0,7,2025-11-19T12:05:00+05:30,59022.72,2025-11-19T12:30:00+05:30,TP,135.87,-28.38,3.0,164.25
96,NSE:NIFTY BANK,SETUP-A,LONG,59185.75,58942.05,59916.86,3.0,5,2025-11-20T09:45:00+05:30,59343.9,2025-11-20T15:25:00+05:30,EOD,158.15,-6.92,0.649,165.07
97,NSE:NIFTY BANK,SETUP-A,LONG,59044.65,58882.25,59531.85,3.0,6,2025-11-21T12:15:00+05:30,58882.25,2025-11-21T14:55:00+05:30,SL,-162.4,-326.59,-1.0,164.19
98,NSE:NIFTY BANK,SETUP-A,LONG,59003.9,58807.09,59594.32,3.0,7,2025-11-24T09:55:00+05:30,58807.09,2025-11-24T15:15:00+05:30,SL,-196.81,-360.84,-1.0,164.03
99,NSE:NIFTY BANK,SETUP-A,SHORT,58816.75,59134.75,57862.74,3.0,6,2025-11-25T09:25:00+05:30,59134.75,2025-11-25T14:10:00+05:30,SL,-318.0,-482.36,-1.0,164.36
100,NSE:NIFTY BANK,SETUP-A,LONG,59463.6,59381.98,59708.47,3.0,6,2025-11-26T12:00:00+05:30,59527.15,2025-11-26T15:25:00+05:30,EOD,63.55,-102.1,0.7786,165.65
101,NSE:NIFTY BANK,SETUP-A,LONG,59824.15,59626.39,60417.43,3.0,6,2025-11-27T11:25:00+05:30,59626.39,2025-11-27T13:15:00+05:30,SL,-197.76,-363.93,-1.0,166.17
102,NSE:NIFTY BANK,SETUP-A,LONG,59849.85,59623.87,60527.79,3.0,6,2025-11-28T11:00:00+05:30,59730.3,2025-11-28T15:25:00+05:30,EOD,-119.55,-285.91,-0.529,166.36
103,NSE:NIFTY BANK,SETUP-A,LONG,59588.4,59475.42,59927.34,3.0,7,2025-12-02T11:15:00+05:30,59475.42,2025-12-02T12:00:00+05:30,SL,-112.98,-278.67,-1.0,165.69
104,NSE:NIFTY BANK,SETUP-A,LONG,59116.5,58910.8,59733.59,3.0,6,2025-12-03T11:45:00+05:30,59333.15,2025-12-03T15:25:00+05:30,EOD,216.65,51.67,1.0532,164.98
105,NSE:NIFTY BANK,SETUP-C,LONG,59315.9,59062.57,59949.21,2.5,10,2025-12-04T09:20:00+05:30,59062.57,2025-12-04T13:40:00+05:30,SL,-253.33,-418.08,-1.0,164.75
106,NSE:NIFTY BANK,SETUP-B,SHORT,59569.15,59672.27,59362.91,2.0,5,2025-12-05T11:15:00+05:30,59672.27,2025-12-05T12:30:00+05:30,SL,-103.12,-269.11,-1.0,165.99
107,NSE:NIFTY BANK,SETUP-C,LONG,59221.55,58954.44,59889.33,2.5,8,2025-12-09T11:05:00+05:30,59212.1,2025-12-09T15:25:00+05:30,EOD,-9.45,-174.35,-0.0354,164.9
108,NSE:NIFTY BANK,SETUP-A,LONG,59403.0,59173.41,60091.78,3.0,5,2025-12-10T09:35:00+05:30,59173.41,2025-12-10T11:00:00+05:30,SL,-229.59,-394.61,-1.0,165.02
109,NSE:NIFTY BANK,SETUP-C,SHORT,59083.95,59396.33,58302.99,2.5,5,2025-12-11T11:00:00+05:30,59396.33,2025-12-11T12:05:00+05:30,SL,-312.38,-477.43,-1.0,165.05
110,NSE:NIFTY BANK,SETUP-A,LONG,59531.25,59359.26,60047.23,3.0,6,2025-12-12T09:45:00+05:30,59359.26,2025-12-12T10:25:00+05:30,SL,-171.99,-337.44,-1.0,165.45
111,NSE:NIFTY BANK,SETUP-A,LONG,59260.9,59152.85,59585.05,3.0,6,2025-12-15T11:00:00+05:30,59444.7,2025-12-15T15:25:00+05:30,EOD,183.8,18.49,1.7011,165.31
112,NSE:NIFTY BANK,SETUP-A,SHORT,58906.65,59092.24,58349.88,3.0,5,2025-12-17T09:45:00+05:30,58961.5,2025-12-17T15:25:00+05:30,EOD,-54.85,-219.03,-0.2955,164.18
113,NSE:NIFTY BANK,SETUP-A,LONG,59293.65,59030.32,60083.63,3.0,6,2025-12-22T09:40:00+05:30,59284.1,2025-12-22T15:25:00+05:30,EOD,-9.55,-174.63,-0.0363,165.08
114,NSE:NIFTY BANK,SETUP-A,LONG,59398.55,59279.62,59755.35,3.0,6,2025-12-24T11:10:00+05:30,59279.62,2025-12-24T13:05:00+05:30,SL,-118.93,-284.11,-1.0,165.18
115,NSE:NIFTY BANK,SETUP-B,LONG,58906.85,58887.26,58946.03,2.0,8,2025-12-30T12:15:00+05:30,58946.03,2025-12-30T12:40:00+05:30,TP,39.18,-124.97,2.0,164.15
116,NSE:NIFTY BANK,SETUP-A,LONG,59695.75,59610.83,59950.5,3.0,6,2026-01-01T11:05:00+05:30,59730.95,2026-01-01T11:20:00+05:30,EOD,35.2,-131.01,0.4145,166.21
