trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0050,NSE:NIFTY BANK,5minute,LONG,58319.85,57451.07,60057.4,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-02-03,
T0051,NSE:NIFTY BANK,5minute,SHORT,59891.8,60253.5,59168.4,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-03,
T0052,NSE:NIFTY BANK,5minute,LONG,60120.9,59981.29,60400.13,WIN,1.0504,OB_BOS,INDIA_MID,SETUP-D,2026-02-04,
T0053,NSE:NIFTY FIN SERVICE,5minute,SHORT,27772.4,27811.05,27695.1,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-04,
T0054,NSE:CANFINHOME,5minute,LONG,937.2,934.9,941.8,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-04,
T0055,NSE:CANFINHOME,5minute,LONG,937.0,929.65,951.7,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-04,
T0056,NSE:BAJFINANCE,5minute,LONG,971.3,964.85,984.2,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-04,
T0057,NSE:HCC,5minute,LONG,19.96,19.7,20.48,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-04,
T0058,NSE:NIFTY 50,5minute,SHORT,25652.25,25653.68,25649.39,WIN,2.0,OB_BOS,INDIA_MID,SETUP-D,2026-02-05,
T0059,NSE:NIFTY 50,5minute,LONG,25671.05,25614.7,25783.75,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-05,
T0060,NSE:HDFCBANK,5minute,LONG,952.5,948.7,960.1,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-05,
T0061,NSE:NIFTY FIN SERVICE,5minute,LONG,27673.15,27629.95,27759.55,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-05,
T0062,NSE:NIFTY FIN SERVICE,5minute,LONG,27661.55,27615.15,27754.35,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-05,
T0063,NSE:NIFTY 50,5minute,SHORT,25630.0,25664.2,25561.6,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-05,
T0064,NSE:NIFTY FIN SERVICE,5minute,LONG,27643.075,27587.65,27753.92,LOSS,-1.0,FVG_SWEEP,INDIA_MID,A-FVG-BUY,2026-02-06,
T0065,NSE:NIFTY FIN SERVICE,5minute,SHORT,27631.05,27715.85,27461.45,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-06,
T0066,NSE:FINCABLES,5minute,LONG,751.5,744.8,764.9,WIN,2.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-06,
